file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line
C:\Users\sugii syuji\gitProject\jedis\src\test\java\redis\clients\jedis\tests\commands\ClusterBinaryValuesCommandsTest.java,redis.clients.jedis.tests.commands.ClusterBinaryValuesCommandsTest,0.0,0.0,42.0,0.0,0.0,-1.0,4.0,17
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$2652,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,2652
C:\Users\sugii syuji\gitProject\jedis\src\test\java\redis\clients\jedis\tests\ConnectionTest.java,redis.clients.jedis.tests.ConnectionTest,0.0,-1.0,13.0,7.0,0.35,-1.0,5.0,15
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$1175,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1175
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$301,0.0,0.5,0.0,0.0,-1.0,-1.0,0.0,301
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\exceptions\JedisAskDataException.java,redis.clients.jedis.exceptions.JedisAskDataException,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,5
C:\Users\sugii syuji\gitProject\jedis\src\test\java\redis\clients\jedis\tests\benchmark\ShardedBenchmark.java,redis.clients.jedis.tests.benchmark.ShardedBenchmark,0.0,-1.0,8.0,4.0,0.33333334,-1.0,1.0,9
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$885,0.0,0.5,4.0,0.0,0.0,-1.0,1.0,885
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$98,0.0,0.5,0.0,0.0,-1.0,-1.0,0.0,98
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$992,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,992
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\GeoRadiusResponse.java,redis.clients.jedis.GeoRadiusResponse,0.0,-1.0,0.0,9.0,1.0,-1.0,0.0,5
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$872,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,872
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\commands\BasicRedisPipeline.java,redis.clients.jedis.commands.BasicRedisPipeline,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,12
C:\Users\sugii syuji\gitProject\jedis\src\test\java\redis\clients\jedis\tests\JedisClusterCommandTest.java,redis.clients.jedis.tests.JedisClusterCommandTest$343,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,343
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\util\ByteArrayComparator.java,redis.clients.jedis.util.ByteArrayComparator,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0,3
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$1125,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1125
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\GeoUnit.java,redis.clients.jedis.GeoUnit,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,5
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$310,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,310
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$1867,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1867
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$1313,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1313
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$2968,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,2968
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$1513,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1513
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$1827,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1827
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$481,0.0,0.5,0.0,0.0,-1.0,-1.0,0.0,481
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$929,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,929
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$982,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,982
C:\Users\sugii syuji\gitProject\jedis\src\test\java\redis\clients\jedis\tests\JedisClusterCommandTest.java,redis.clients.jedis.tests.JedisClusterCommandTest$92,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,92
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$821,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,821
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$441,1.0,1.0,1.0,0.0,0.0,0.0,1.0,441
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$521,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,521
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$2062,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,2062
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\commands\JedisClusterBinaryScriptingCommands.java,redis.clients.jedis.commands.JedisClusterBinaryScriptingCommands,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,7
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$759,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,759
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$1283,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1283
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$859,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,859
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Protocol.java,redis.clients.jedis.Protocol$SentinelKeyword,0.0,0.0,0.0,2.0,1.0,-1.0,0.0,311
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$2580,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,2580
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\JedisSocketFactory.java,redis.clients.jedis.JedisSocketFactory,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,17
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\util\JedisURIHelper.java,redis.clients.jedis.util.JedisURIHelper,0.0,-1.0,9.0,2.0,0.18181819,-1.0,2.0,5
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$1192,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1192
C:\Users\sugii syuji\gitProject\jedis\src\test\java\redis\clients\jedis\tests\JedisTest.java,redis.clients.jedis.tests.JedisTest$85,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,85
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$1735,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1735
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$2016,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,2016
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$862,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,862
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\resps\LCSMatchResult.java,redis.clients.jedis.resps.LCSMatchResult$MatchedPosition,0.0,-1.0,0.0,6.0,1.0,-1.0,0.0,57
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$1747,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1747
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$1388,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1388
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$25,0.0,0.5,0.0,0.0,-1.0,-1.0,0.0,25
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$85,0.0,0.5,0.0,0.0,-1.0,-1.0,0.0,85
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\AccessControlUser.java,redis.clients.jedis.AccessControlUser,0.0,-1.0,0.0,9.0,1.0,-1.0,0.0,6
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$1807,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1807
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\args\ClientType.java,redis.clients.jedis.args.ClientType,0.0,0.0,0.0,2.0,1.0,-1.0,0.0,5
C:\Users\sugii syuji\gitProject\jedis\src\test\java\redis\clients\jedis\tests\JedisWithCompleteCredentialsTest.java,redis.clients.jedis.tests.JedisWithCompleteCredentialsTest,3.0,0.0,21.0,4.0,0.16,0.33333334,5.0,23
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$1145,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1145
