file,class,method_x_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,method_y,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,method_x_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD.DefaultTempFileManager,clear/0,1.0,1.0,0.5,1.0,443,clear/0,2,1,3,11,0,0,0,1,0,0,clear/0,1.0,1.0,0.5,1.0,443,2,1,3,11,0,0,0,1,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD.DefaultTempFileManager,createTempFile/1[java.lang.String],0.0,1.0,1.0,0.0,455,createTempFile/1[java.lang.String],1,1,1,5,1,1,1,0,0,0,createTempFile/1[java.lang.String],0.0,1.0,1.0,0.0,455,1,1,1,5,1,1,1,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD.DefaultTempFileManager,DefaultTempFileManager/0,1.0,2.0,0.6666667,1.0,434,DefaultTempFileManager/0,4,0,2,7,0,0,0,0,0,0,DefaultTempFileManager/0,1.0,2.0,0.6666667,1.0,434,4,0,2,7,0,0,0,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\ShutdownTest.java,fi.iki.elonen.integration.ShutdownTest.TestServer,serve/1[fi.iki.elonen.NanoHTTPD.IHTTPSession],0.0,0.0,-1.0,0.0,57,serve/1[fi.iki.elonen.NanoHTTPD.IHTTPSession],0,1,1,3,1,0,1,0,0,0,serve/1[fi.iki.elonen.NanoHTTPD.IHTTPSession],0.0,0.0,-1.0,0.0,57,0,1,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\ShutdownTest.java,fi.iki.elonen.integration.ShutdownTest.TestServer,TestServer/0,0.0,0.0,-1.0,0.0,52,TestServer/0,1,0,1,3,0,0,0,0,0,0,TestServer/0,0.0,0.0,-1.0,0.0,52,1,0,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\GetAndPostIntegrationTest.java,fi.iki.elonen.integration.GetAndPostIntegrationTest.175,getFilename/0,0.0,0.0,-1.0,0.0,178,getFilename/0,0,0,1,3,1,0,0,0,0,0,getFilename/0,0.0,0.0,-1.0,0.0,178,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,closeAllConnections/0,0.0,0.0,-1.0,0.0,2038,closeAllConnections/0,0,1,1,3,0,0,0,0,0,0,closeAllConnections/0,0.0,0.0,-1.0,0.0,1964,0,1,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"createClientHandler/2[java.net.Socket,java.io.InputStream]",0.0,0.0,-1.0,0.0,2052,"createClientHandler/2[java.net.Socket,java.io.InputStream]",1,1,1,3,1,0,2,0,0,0,"createClientHandler/2[java.net.Socket,java.io.InputStream]",0.0,0.0,-1.0,0.0,1978,1,1,1,3,1,0,2,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,createServerRunnable/1[int],0.0,0.0,-1.0,0.0,2064,createServerRunnable/1[int],1,1,1,3,1,0,1,0,0,0,createServerRunnable/1[int],0.0,0.0,-1.0,0.0,1990,1,1,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,decodeParameters/1[java.lang.String],1.0,0.0,0.0,1.0,2096,decodeParameters/1[java.lang.String],4,1,7,19,1,6,1,1,0,0,decodeParameters/1[java.lang.String],1.0,0.0,0.0,1.0,2022,4,1,7,19,1,6,1,1,0,0
