file,class,method,ATFD,ATLD,LAA,FDP,line_x,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty,line_y
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\ack\AckManager.java,com.corundumstudio.socketio.ack.AckManager.AckEntry,addAckCallback/1[com.corundumstudio.socketio.AckCallback],0.0,0.0,-1.0,0.0,43.0,1,0,1,5,1,1,1,0,0,0,43
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\ack\AckManager.java,com.corundumstudio.socketio.ack.AckManager.AckEntry,getAckCallback/1[long],1.0,0.0,0.0,1.0,53.0,2,0,1,3,1,0,1,0,0,0,53
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\ack\AckManager.java,com.corundumstudio.socketio.ack.AckManager.AckEntry,getAckIndexes/0,0.0,0.0,-1.0,0.0,49.0,1,0,1,3,1,0,0,0,0,0,49
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\ack\AckManager.java,com.corundumstudio.socketio.ack.AckManager.AckEntry,initAckIndex/1[long],0.0,0.0,-1.0,0.0,61.0,2,0,1,3,0,0,1,0,0,0,61
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\ack\AckManager.java,com.corundumstudio.socketio.ack.AckManager.AckEntry,removeCallback/1[long],0.0,0.0,-1.0,0.0,57.0,1,0,1,3,1,0,1,0,0,0,57
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\SuccessAuthorizationListener.java,com.corundumstudio.socketio.handler.SuccessAuthorizationListener,isAuthorized/1[com.corundumstudio.socketio.HandshakeData],0.0,0.0,-1.0,0.0,24.0,0,0,1,3,1,0,1,0,0,0,24
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\JacksonJsonSupport.java,com.corundumstudio.socketio.protocol.JacksonJsonSupport.ExBeanSerializerModifier,getSerializer/0,0.0,1.0,1.0,0.0,290.0,2,0,1,3,1,0,0,0,0,0,290
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\annotation\OnDisconnectScanner.java,com.corundumstudio.socketio.annotation.OnDisconnectScanner,"addListener/4[com.corundumstudio.socketio.namespace.Namespace,java.lang.Object,java.lang.reflect.Method,java.lang.annotation.Annotation]",1.0,0.0,0.0,1.0,35.0,0,2,1,16,0,0,4,0,1,0,35
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\annotation\OnDisconnectScanner.java,com.corundumstudio.socketio.annotation.OnDisconnectScanner,getScanAnnotation/0,1.0,0.0,0.0,1.0,30.0,0,0,1,3,1,0,0,0,0,0,30
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\annotation\OnDisconnectScanner.java,com.corundumstudio.socketio.annotation.OnDisconnectScanner,"validate/2[java.lang.reflect.Method,java.lang.Class]",5.0,0.0,0.0,3.0,51.0,0,0,5,14,0,1,2,1,0,0,51
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\messages\PacketsMessage.java,com.corundumstudio.socketio.messages.PacketsMessage,getClient/0,0.0,1.0,1.0,0.0,39.0,1,0,1,3,1,0,0,0,0,0,39
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\messages\PacketsMessage.java,com.corundumstudio.socketio.messages.PacketsMessage,getContent/0,0.0,1.0,1.0,0.0,43.0,1,0,1,3,1,0,0,0,0,0,43
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\messages\PacketsMessage.java,com.corundumstudio.socketio.messages.PacketsMessage,getTransport/0,0.0,1.0,1.0,0.0,35.0,1,0,1,3,1,0,0,0,0,0,35
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\SocketIONamespace.java,com.corundumstudio.socketio.SocketIONamespace,getAllClients/0,0.0,0.0,-1.0,0.0,40.0,0,0,1,1,0,0,0,0,0,0,35
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\SocketIONamespace.java,com.corundumstudio.socketio.SocketIONamespace,getBroadcastOperations/0,0.0,0.0,-1.0,0.0,31.0,1,0,1,1,0,0,0,0,0,0,31
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\SocketIONamespace.java,com.corundumstudio.socketio.SocketIONamespace,getClient/1[java.util.UUID],0.0,0.0,-1.0,0.0,48.0,0,0,1,1,0,0,1,0,0,0,42
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\SocketIONamespace.java,com.corundumstudio.socketio.SocketIONamespace,getName/0,0.0,0.0,-1.0,0.0,29.0,0,0,1,1,0,0,0,0,0,0,29
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\SocketIONamespace.java,com.corundumstudio.socketio.SocketIONamespace,getRoomOperations/1[java.lang.String],0.0,0.0,-1.0,0.0,33.0,0,0,1,1,0,0,1,0,0,0,33
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\scheduler\HashedWheelTimeoutScheduler.java,com.corundumstudio.socketio.scheduler.HashedWheelTimeoutScheduler.2.1,run/0,0.0,0.0,-1.0,0.0,82.0,0,5,1,8,0,0,0,0,0,0,82
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\TransportState.java,com.corundumstudio.socketio.handler.TransportState,getChannel/0,0.0,1.0,1.0,0.0,38.0,6,0,1,3,1,0,0,0,0,0,38
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\TransportState.java,com.corundumstudio.socketio.handler.TransportState,getPacketsQueue/0,0.0,1.0,1.0,0.0,34.0,3,0,1,3,1,0,0,0,0,0,34
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\TransportState.java,com.corundumstudio.socketio.handler.TransportState,setPacketsQueue/1[java.util.Queue],0.0,1.0,1.0,0.0,30.0,1,0,1,3,0,0,1,0,0,0,30
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\MemoryPubSubStore.java,com.corundumstudio.socketio.store.MemoryPubSubStore,"publish/2[com.corundumstudio.socketio.store.pubsub.PubSubType,com.corundumstudio.socketio.store.pubsub.PubSubMessage]",0.0,0.0,-1.0,0.0,26.0,0,0,1,2,0,0,2,0,0,0,26
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\MemoryPubSubStore.java,com.corundumstudio.socketio.store.MemoryPubSubStore,shutdown/0,0.0,0.0,-1.0,0.0,38.0,0,0,1,2,0,0,0,0,0,0,38
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\MemoryPubSubStore.java,com.corundumstudio.socketio.store.MemoryPubSubStore,"subscribe/3[com.corundumstudio.socketio.store.pubsub.PubSubType,com.corundumstudio.socketio.store.pubsub.PubSubListener,java.lang.Class]",0.0,0.0,-1.0,0.0,30.0,0,0,1,2,0,0,3,0,0,0,30
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\MemoryPubSubStore.java,com.corundumstudio.socketio.store.MemoryPubSubStore,unsubscribe/1[com.corundumstudio.socketio.store.pubsub.PubSubType],0.0,0.0,-1.0,0.0,34.0,0,0,1,2,0,0,1,0,0,0,34
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\PubSubStore.java,com.corundumstudio.socketio.store.pubsub.PubSubStore,"publish/2[com.corundumstudio.socketio.store.pubsub.PubSubType,com.corundumstudio.socketio.store.pubsub.PubSubMessage]",0.0,0.0,-1.0,0.0,21.0,7,0,1,1,0,0,2,0,0,0,21
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\PubSubStore.java,com.corundumstudio.socketio.store.pubsub.PubSubStore,shutdown/0,0.0,0.0,-1.0,0.0,27.0,0,0,1,1,0,0,0,0,0,0,27
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\PubSubStore.java,com.corundumstudio.socketio.store.pubsub.PubSubStore,"subscribe/3[com.corundumstudio.socketio.store.pubsub.PubSubType,com.corundumstudio.socketio.store.pubsub.PubSubListener,java.lang.Class]",0.0,0.0,-1.0,0.0,23.0,0,0,1,1,0,0,3,0,0,0,23
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\PubSubStore.java,com.corundumstudio.socketio.store.pubsub.PubSubStore,unsubscribe/1[com.corundumstudio.socketio.store.pubsub.PubSubType],0.0,0.0,-1.0,0.0,25.0,0,0,1,1,0,0,1,0,0,0,25
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\annotation\AnnotationScanner.java,com.corundumstudio.socketio.annotation.AnnotationScanner,"addListener/4[com.corundumstudio.socketio.namespace.Namespace,java.lang.Object,java.lang.reflect.Method,java.lang.annotation.Annotation]",0.0,0.0,-1.0,0.0,27.0,1,0,1,1,0,0,4,0,0,0,27
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\annotation\AnnotationScanner.java,com.corundumstudio.socketio.annotation.AnnotationScanner,getScanAnnotation/0,0.0,0.0,-1.0,0.0,25.0,1,0,1,1,0,0,0,0,0,0,25
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\annotation\AnnotationScanner.java,com.corundumstudio.socketio.annotation.AnnotationScanner,"validate/2[java.lang.reflect.Method,java.lang.Class]",0.0,0.0,-1.0,0.0,29.0,1,0,1,1,0,0,2,0,0,0,29
