file,class,method,ATFD,ATLD,LAA,FDP,line
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree$ContainsValueFunction,"test/1[T]",0.0,1.0,1.0,0.0,707
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree$ContainsValueFunction,"ContainsValueFunction/1[T]",0.0,1.0,1.0,0.0,702
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree$ContainsIntervalFunction,"test/1[T]",2.0,3.0,0.6,1.0,723
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree$ContainsIntervalFunction,"ContainsIntervalFunction/2[Interval, boolean]",0.0,2.0,1.0,0.0,717
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree$TreeNodeIterator,"getNext/0",5.0,8.0,0.61538464,1.0,156
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree$TreeNodeIterator,"hasNext/0",0.0,4.0,1.0,0.0,140
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree$TreeNodeIterator,"next/0",0.0,3.0,1.0,0.0,148
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree$TreeNodeIterator,"TreeNodeIterator/1[edu.stanford.nlp.util.IntervalTree$TreeNode]",0.0,2.0,1.0,0.0,132
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree$PartialScoredList,"PartialScoredList/0",0.0,0.0,-1.0,0.0,0
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree,"add/1[T]",0.0,2.0,1.0,0.0,58
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree,"add/2[edu.stanford.nlp.util.IntervalTree$TreeNode, T]",0.0,1.0,1.0,0.0,62
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree,"add/3[edu.stanford.nlp.util.IntervalTree$TreeNode, T, double]",28.0,3.0,0.10344828,4.0,67
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree,"addNonNested/1[T]",0.0,0.0,-1.0,0.0,564
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree,"addNonOverlapping/1[T]",0.0,0.0,-1.0,0.0,557
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree,"adjust/1[edu.stanford.nlp.util.IntervalTree$TreeNode]",1.0,0.0,0.0,1.0,317
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree,"adjustUpwards/1[edu.stanford.nlp.util.IntervalTree$TreeNode]",0.0,0.0,-1.0,0.0,292
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree,"adjustUpwards/2[edu.stanford.nlp.util.IntervalTree$TreeNode, edu.stanford.nlp.util.IntervalTree$TreeNode]",19.0,0.0,0.0,3.0,297
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree,"balance/0",0.0,2.0,1.0,0.0,401
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree,"balance/1[edu.stanford.nlp.util.IntervalTree$TreeNode]",5.0,2.0,0.2857143,1.0,406
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\IntervalTree.java,edu.stanford.nlp.util.IntervalTree,"check/0",0.0,1.0,1.0,0.0,321
